236,2,1,4,155,"('8000', '8005', '9111', '9104', '8014')","('8300', '8352', '8345')","(2033, 3111, 3508, 1055, 3155, 0)",3363,"('14', '4')"
30,4,3,4,34,"('8100', '8128', '8126', '8138', '8135')","('8000', '8009', '8014')","(1402, 1026, 1082, 3020, 3151, 2055)",3340,"('4', '11')"
81,5,2,2,172,"('8000', '8010', '8009', '9103', '8014')","('8300', '8345', '8347')","(3042, 1033, 3133, 3025, 1055, 3158)",3363,"('4', '7')"
518,0,3,3,12,"('8100', '8112', '8139', '8136', '8105')","('8200', '8237', '8234')","(3851, 3117, 0, 3152, 1052, 0)",3364,"('4', '14')"
164,1,2,7,137,"('8000', '8010', '9111', '9104', '8299')","('8300', '8304', '8345')","(3077, 1053, 2422, 0, 3078, 1055)",3340,"('12', '4')"
432,3,11,5,11,"('8400', '8465', '8446', '8473', '8453')","('8100', '8136', '8105')","(3174, 1033, 3851, 3117, 2055, 3107)",3364,"('14', '4')"
202,1,5,2,152,"('8000', '8021', '8009', '9103', '8014')","('8200', '8275', '8236')","(1055, 3031, 1001, 2055, 1029, 0)",3363,"('4', '7')"
76,7,5,1,25,"('8100', '8112', '8143', '8138', '8135')","('8200', '8275', '8232')","(3158, 2420, 3174, 1414, 3108, 3191)",3364,"('11', '4')"
245,3,4,1,194,"('8100', '8112', '8143', '8138', '8135')","('8300', '8352', '8316')","(2033, 3152, 3113, 3020, 3057, 1082)",3340,"('4', '12')"
24,6,5,3,143,"('8000', '8010', '9111', '9105', '8299')","('8300', '8304', '8352')","(3153, 2033, 1055, 3047, 3071, 1057)",3340,"('4', '12')"
76,10,11,1,10,"('8100', '8112', '8143', '8136', '8135')","('8300', '8304', '8347')","(1402, 3157, 2031, 2422, 3100, 1082)",3364,"('11', '4')"
145,10,4,3,132,"('8100', '9923', '8139', '8138', '8135')","('8000', '8009', '9103')","(0, 0, 0, 3124, 3004, 3006)",3363,"('4', '7')"
69,5,8,1,147,"('8000', '8010', '8009', '9105', '8299')","('8100', '8139', '8135')","(2031, 3040, 3116, 2055, 3191, 1056)",3363,"('4', '3')"
111,0,10,4,27,"('8400', '8439', '8446', '8473', '8451')","('8300', '8313', '8316')","(3117, 3193, 1052, 3859, 0, 3801)",3364,"('14', '4')"
23,3,3,0,181,"('8000', '8008', '9111', '9104', '8299')","('8200', '8275', '8210')","(3077, 3508, 1054, 3006, 3101, 0)",3340,"('14', '4')"
